# lang=nl
woordenboek	dictionary
wat	that: e.g. (1) modifying an indefinite pronoun like iets, niets, alles or het enige; (2) modifying an adjective that is used as a noun, usually a superlative
enkel	single
enkel	only, sole
enkel	exclusively, only, solely
ampère	ampere
goal	, target in sports, especially soccer
goal	a hit in it, a point scored
brood	bread
brood	a loaf of bread
brood	a similar bakery product or other baked dish
volt	(unit)
Swahili	(language)
kim	horizon
bont	motley, variegated, multi-colored
bont	mixed, varied, heterogeneous
vloeien	to flow
in-	prepended to a noun or adjective, it reinforces the quality signified thereby
in-	prepended to an adjective to negate its meaning; occurs mostly in borrowed terms from French: , un-
trial	cross with small but sturdy and very versatile motorcycles, cars or bicycles
-ist	appended to a word, it yields a noun which signifies the subject who performs something related to that word
Nederlands	of the Netherlands; Dutch, Netherlandish
Nederlands	of the Dutch language; Dutch
Nederlands	Dutch, the language spoken in the Netherlands and in Flanders (i.e. the north of Belgium); Netherlandish
gym	(fitness facility)
gymnasium	a type of secondary school (for 12- to 18-year-olds) which prepares students for university or vocational school, and which offers classes in Latin and/or Greek
gymnasium	school of sports which the Greeks had in antiquity
cheque	check, (a note promising to pay money to a named person or entity)
cheque	voucher, used to pay a stated amount for a specific purpose
Brabant	North Brabant
Brabant	Duchy of
bergen	to store, to stash away
bergen	to salvage (a vessel)
club	nightclub
infinitief	infinitive
briller	person wearing glasses
los	loose
los	separate, individual
OTO	("educate, train, & exercise")
occult	occult
gabardine	made from
gabardine	the woolen Gabardine
gabardine	an overcoat or raincoat (of this material)
panda	, giant panda ()
panda	red panda ()
land	, country, realm, territory
land	a constituent country of the Kingdom of the Netherlands; the territorial government of an overseas constituent country
Holland	the Netherlands as a whole
cent	cent, a subunit of currency equal to one-hundredth of the main unit of the Dutch guilder
cent	cent, a subunit of currency equal to one-hundredth of the euro
gazelle	, mammal of the tribe Antilopini
flamingo	a , bird of the family
flamingo	the greater flamingo
hyena	, any member of the family
cobra	Indian cobra ()
Zeus	(Supreme ruler of all Greek gods, husband to Hera)
fair	a funfair, carnival
type	: a class, someone or something from a class. The diminutive is used when made into a caricature
steel	stem (of a plant)
steel	handle (of a broom, a pan)
plan	a set of intended actions, through which one expects to achieve a goal: , plot, scheme
plan	a technical drawing
plan	a detailed map of a relatively small area, such as a building or settlement
drama	something tragic, a tragedy
proper	clean
code	book or body of laws, code of laws, lawbook
code	system of rules and principles, e.g. of conduct
video	, movie
video	videotape
video	, video signal or the visual element of a medium
request	request
offer	sacrifice, offering
offer	victim
dons	down, small bird feathers used as insulation material in covers and sleeping bags
dons	a bed cover (e.g. a duvet) filled with down
dons	a piece of down or fluff
papa	dad ()
dis	laid table
dis	meal, dish
dis	D-sharp
lite	the (rare) singular of liten
happen	to take a bite
hond	dog ()
hond	a reprehensible person
hond	an old unit of area measuring 100 , approximately 0.14 hectares
hamer	hammer
service	after-sales
Spitsbergen	(the largest island of the Svalbard archipelago)
glad	smooth, polished
glad	slippery
glad	completely, entirely
wort	(unfermented beer)
yam	, a tropical vine
yam	its edible root
dans	dance
roman	a novel
Duits	German
Duits	Dutch
Duits	Teutonic
Drenthe	, a province of the Netherlands
mug	a mosquito, a gnat, any fly of the suborder except sometimes the larger tropical species (which are commonly called )
mug	a bug, an insignificant individual
Westen	the West
zenit	zenith
sein	signal
sein	railway signal
gezellig	having an inviting and friendly ambiance; cozy, nice, pleasant, sociable, convivial
gezellig	inclined to seek the company of others
staat	state
staat	state, condition, status
staat	table, list, chart
slip	a pair of briefs, a short type of underpants which covers the buttocks but nothing below
slip	a pair of knickers or panties, any female underpants
slip	tail, part of an upper garment hanging below the waist
baden	to bathe
baden	to shower
periodiek systeem	periodic table
cornflakes	corn flakes
bes	berry
bes	B-flat
bes	an old woman
poker	(card game)
poker	somebody who pokes a fire
wiegen	to rock, to sway
wieg	cradle
wieg	birthplace
turf	a tally mark representing five
turf	a fat book, tome; a book containing many pages
pool	magnetic pole (especially of the Earth and other celestial bodies)
pool	electrical pole (e.g. of a battery)
pool	an opposing side of a principle or a doctrine
more	the unit of length (short or long) in poetic metre
log	lumbering, inert, slow in movement; immobile
log	(originally) plumb, (too) heavy in built and/or weight
log	cumbersome, hard to move or change
special	a broadcast episode
aal	eel , ()
aal	elver
aal	padre
pater	father
frater	a twite (, syn. )
ros	horse
ros	steed
ros	of an impure red color; reddish
nix	, nixie
gast	guest
gast	knave, worker, apprentice, delivery boy
gast	dude, guy
skunk	, weed with a high level of THC
pudding	pudding
blad	a leaf
blad	a sheet of paper, leaf (in a book)
blad	a page
Chickasaw	(language)
Mohawk	the people
Mohawk	the language
Punjabi	, of, pertaining to, descended from the people or culture of the Punjab, or written in the Punjabi language
Punjabi	(person)
Punjabi	(language)
Tamil	; language spoken in the state of Tamil Nadu, India and in Sri Lanka, Singapore, Malaysia
Tamil	; A person born in one of those regions, belonging to the Tamil people
Vlaams	Flemish
appendix	an , a section appended to the main body of a text or publication with peripheral information
appendix	a vermiform appendix
appendix	the of a balloon
bureau	office, office building (especially office buildings for writing and publishing journalism and literature, or the police station as a building)
bureau	agency (government organisation, such as a police station: "politiebureau"; a scientific or humanities research institute: "onderzoeksbureau"; political party think tank: "wetenschappelijk bureau")
corpus	a collection of writings, a text
truck	, lorry
label	quality label
label	music label
mango	mango
mango	mango tree
curry	the spicy condiment curry powder
curry	a dish
curry	curry ketchup
cembalo	harpsichord
loo	a clearing in a forest
loo	a forest on sandy soil with (many) clearings
lust	, desire
lust	object of desire
lust	pleasure, joy
tarantula	Any wolf spider of genus , particularly .
ecologist	an environmentalist
ee	a law or rule
ee	the bond of marriage
focus	, centre
fungus	, member of the kingdom
medium	means, system or instrument for fulfilling an end
medium	which a wave or force traverses
medium	middle voice
porto	the postage due for having a letter or package transported and delivered by a postal service
pons	punch
Christus	Christ, Messiah
homo	gay, homosexual
paar	pair, couple
paar	a few, a couple, some
wen	if, when
tram	a , a streetcar, vehicle on rails for passenger transport in cities
trailer	(unpowered vehicle towed behind another)
trailer	, , (furnished vehicle towed behind another)
Venus	Venus
via	, through, by way of
via	by (means of); using (a medium)
hecatombe	hecatomb, public sacrifice involving many sacrificial animals
hecatombe	carnage, massacre, any great loss of life whether intentional or not
anaconda	, constrictor of the genus
barg	barrow, castrated boar
berg	mountain, hill
berg	a large amount, a pile; a stock, reserve; a surplus
zona	shingles
Marcus	Mark ([http://www.biblija.net/biblija.cgi?m=Mar+1%2C16-20&id18=1&pos=0&l=nl&set=10 book of the Bible])
kleur	a color, colour
kleur	a party obedience, as in politics
kleur	a suit (of cards)
top	summit, peak
topje	top (garment worn to cover the torso)
placebo	sycophant
tartan	a kilt or cloak made of tartan
ton	barrel
ton	100,000 of some monetary unit, particularly guilders
neger	a black person, a Negro
nie	never
direct	, immediate
direct	, blunt, frank
direct	immediately
oase	oasis
rad	wheel
rad	quick, swift
rand	edge, brink, rim
rand	boundary
recht	straight
recht	a right, competence, authority, privilege
rechts	on the right
rechts	to the right
rechts	right
moment	(very brief period of time)
moment	moment of force
rob	seal, any member of the family
rob	rabbit
er was eens	once upon a time there was
Eskimo	the language (group)
hymne	song of praise
kunnen	can, to be able to
kunnen	may, can, to be allowed to
kunnen	to be possible
lofzang	song of praise
passer	compass (device used with a pencil to draw an arc or circle on paper)
semester	semester
trimester	trimester
per	for each; for every
per	by means of
corps	student society, especially a traditional and hierarchical one
auto	car, automobile
Cherokee	the language
Cherokee	people
Cherokee	a member of the people
auto-	auto-
sedan	, saloon
saloon	saloon
best	fine, okay
best	dear, venerable (in a polite address)
fuga	fugue
lid	member (of a group)
lid	member, limb (extremity of a body)
lid	member, penis
dragon	tarragon
dragon	treacle mustard
dragon	a (French) dragoon
basilisk	a , a tree-dwelling lizard of the genus Basiliscus
Carthago	Carthage
puppy	(young dog)
hop	hoopoe, the species or an individual of this species
hop	any bird of the family
gander	, male goose
tender	(finance)
tender	coal-car
mode	fashion, trend
mode	custom, tradition, manner
wit	white
wit	legally obtained by having paid the appropriate taxes
wit	having a white skin colour, light-skinned
hen	them
hen	, female chicken; female of a related species
hen	a female of the species of birds brooding on the ground
aquarium	water basin, water tank
does	sleepy, dozy, not fully awake or to one's senses
kip	a chicken
kip	a female chicken, a hen
vos	fox, carnivore of the tribe
vos	red fox ()
vos	fox fur
bark	the bark of certain trees, used for its tannin
bark	barge, a large type of rowing or sailing boat
marine	a navy
marine	an armed navy (naval branch of armed forces)
canvas	, sail
canvas	, fabric used for painting
beauty	a beauty, looker, beautiful person
beauty	a beautiful other creature or thing
beauty	human beauty, as the object or goal of cosmetics etc.
comfort	physical , ease
kitten	a young cat
kitten	to apply sealant to
steward	, male flight attendant
speech	, oration
ATM	automated teller machine
ticket	or voucher
token	, an atomic piece of data
hola	hallo, hoi
quarantaine	a quarantine, sanitary measure of isolating infected people; its duration or site
quarantaine	any isolation, exclusion
trio	, threesome, triad
trio	menage a trois, threesome
leer	leather
leer	doctrine
leer	theory, teachings
leger	army, armed forces
leger	bed, crib
incubus	a nightmare
incubus	a burden, obsession, yoke
cricket	cricket
ter	for, for the (followed by a feminine singular noun, e.g., one ending in -ing)
ter	in the
moor	something black, notably a black horse
moor	a whistling kettle, used to boil water in, as for tea or coffee
balustrade	railing
trap	stairs, staircase
trap	ladder
trap	degree, grade
tor	beetle
ren	a run; an enclosed area where small or mid-sized livestock such as poultry are kept
bon	receipt
