# lang=en
free	unfree
turn down	accept
turn down	turn up
turn up	turn down
watch	ignore
if only	God forbid
fathomable	unfathomable
in-	exo-
in-	ex-
in-	ecto-
in-	out-
turn over a new leaf	break bad
turn off	turn on
turn on	shut off
turn on	turn off
standstill	motion
standstill	movement
slowly	quickly
slowly	rapidly
thumbs up	thumbs down
borrow	lend
borrow	return
borrow	give back
borrow	carry
signal	noise
procrastinate	precrastinate
negligible	considerable
negligible	important
negligible	significant
negligible	innegligible
negligible	unignorable
aggregate	segregate
manual	automatic
pizzicato	arco
lofty	ignoble
lofty	mean
lofty	familiar
lofty	vulgar
sterile	fertile
sterile	non-sterile
sterile	nonsterile
sterile	unsterile
offspring	mother
offspring	father
offspring	genitor
offspring	progenitor
offspring	parent
offspring	ancestor
offspring	forebear
offspring	forbear
offspring	forefather
asleep	awake
weak	invincible
weak	strong
weak	healthy
weak	robust
weak	powerful
weak	strong
weak	potent
weak	robust
weak	strong
erase	record
valley	levée
aren't	are
minor	major
minor	mature
minor	grown
minor	of age
minor	adult
minor	serious
minor	acute
minor	grave
minor	fatal
minor	dangerous
minor	life-threatening
minor	severe
major	minor
acerebral	cerebral
front	back
front	rear
front	derrière
carry	borrow
retail	wholesale
historical	Thesaurus:anachronistic
historical	anachronistic
historical	ahistorical
historical	modern
historical	present
historical	Thesaurus:present
historical	Thesaurus:contemporary
historical	contemporary
historical	present-day
historical	future
historical	Thesaurus:future
historical	expected
historical	projected
historic	unhistoric
da	nyet
coarse	fine
acholia	jaundice
acholia	hypercholia
acholia	cholaemia
acholia	icterus
acholia	cholemia
service	capital
reliable	unreliable
trust	distrust
trust	mistrust
trust	untrust
trust	wantrust
undermine	undergird
double	half
double	half
hirsute	glabrous
antagonist	protagonist
antagonist	agonist
adversary	ally
adversary	hero
brine	debrine
brine	desalinate
pretty	ugly
peculiar	Thesaurus:normal
peculiar	Thesaurus:generic
manifold	onefold
manifold	singlefold
include	exclude
great	tiny
great	mediocre
great	ordinary
more	fewer
more	less
special	run-of-the-mill
special	common
special	general
special	nonspecial
special	ordinary
special	usual
special	everyday
special	common-or-garden
dated	undated
dated	current
dated	up-to-date
dated	Thesaurus:fashionable
dated	a la mode
dated	trendy
fewest	most
