# lang=ca
gratis	free, for free
emoció	emotion
grafema	grapheme
fòsfor	phosphorus
escandi	scandium
vanadi	vanadium
manganès	manganese
gal·li	gallium
arsènic	arsenic
seleni	selenium
criptó	krypton
rubidi	rubidium
estronci	strontium
molibdè	molybdenum
tecneci	technetium
ruteni	ruthenium
pal·ladi	palladium
estany	watertight, impervious
tel·luri	tellurium
cesi	cesium
cesi	light ash blue
lantani	lanthanum
neodimi	neodymium
europi	europium
terbi	terbium
disprosi	dysprosium
holmi	holmium
iterbi	ytterbium
luteci	lutetium
hafni	hafnium
tàntal	tantalum
tàntal	a stork of the genus
tungstè	tungsten
osmi	osmium
platí	platinum
mercuri	mercury
tal·li	thallium
poloni	polonium
àstat	astatine
radó	radon
actini	actinium
protoactini	protactinium
neptuni	neptunium
mendelevi	mendelevium
laurenci	lawrencium
copernici	copernicium
bisbe	bishop
contrasenya	password
motivació	motivation
cometre	to commit
corrupte	corrupt
prurit	itch, itching, itchiness
barbarisme	a lexical borrowing not considered nativized within a given language; linguistic interference
patriarcat	patriarchy
patriarcat	patriarchate
subvenir	to provide for, to meet
tarja	tally
tarja	plate
tarja	shield
combatent	fighting, combative
combatent	fighter
tristor	sadness
Ventafocs	Cinderella
nit de Nadal	Christmas Eve
llavar	to wash
atroç	atrocious, heinous
dragar	to swallow, to devour
dragar	to dredge
galvanització	galvanization
dopar	to dope
dopar	to dope
dopar	to dope
aragonès	Aragonese (language)
esport	sport
dissuadir	to dissuade
distintiu	distinctive
avançat	advanced, progressive
avançat	advanced
filtrat	filtrate
habilitat	ability, skill
habilitat	able, skilled
habilitat	enabled
boxar	to box
albinisme	albinism
fornicar	to fornicate
rinoceront	rhinoceros
sarment	shoot, vine
solidari	caring, sympathetic to; solidary
carregar	to load
carregar	to charge
carregar	to completely construct a castell ()
fatalista	fatalistic
fatalista	fatalistic
fatalista	fatalist
desconcertar	to disconcert, to upset
impetuós	impetuous
lituà	Lithuanian
lituà	Lithuanian
lituà	Lithuanian
circumnavegar	to circumnavigate
circumnavegació	circumnavigation
botre	to bounce, bound, jump
amistat	friendship
illenc	island
illenc	islander
davant	ahead; in front
davant	ahead of; in front of
davant	front
fúria	rage, fury
fúria	fury, termagant
impressora	printer
fixar	to fix, fasten, set in place
fixar	to set, decide, settle on
fixar	to focus on, to observe
derivació	derivation
vociferació	vociferation
quotidià	daily; quotidian
sedició	sedition
estret	narrow
estret	strict
estret	tight
estreta	tightening, squeeze
masoquisme	masochism
fabulós	fabulous, mythical
fabulós	fabulous, incredible
hereditari	hereditary
lacti	milk; lactic
lacti	dairy
lacti	milky
contumeliós	contumelious
apalancar	to lever, to raise or open with a lever
apalancar	to settle down
camaleó	chameleon
camaleó	flip-flopper
meravellós	marvelous
vaixella	crockery, dishware, dishes
escurada	dishwashing, dishes
escurar	to wash up the dishware
escurar	to clean, clean out
escurar	to empty fully from food or drink
xifra	numeral
xifra	number; amount
xifra	cipher
fatu	conceited
sicle	shekel
camaraderia	camaraderie
llatinoamericà	Latin American
llatinoamericà	Latin American
coratjós	courageous
àrab	Arab, Arabic
àrab	Arabic (language)
alcàsser	alcazar
alcàsser	castle, citadel
alcàsser	quarterdeck
mossàrab	Mozarab
mossàrab	Mozarab
mossàrab	Mozarabic
mudèjar	Mudéjar
mudèjar	Mudéjar
licantrop	lycanthrope
home llop	werewolf
gira-sol	sunflower
carrussel	carousel
per cert	by the way
lògic	logical
lògica	logic
ivorià	Ivorian
ivorià	Ivorian
solet	pumpkinseed ()
avalot	uproar, racket
avalot	brawl, riot
gatzara	a stir, a fuss, an uproar, normally indicating joy
brogit	uproar, din
cridòria	stir, fuss, uproar
esvalot	uproar, racket, hullabaloo
aldarull	stir, fuss, hoo-ha, uproar
rebombori	stir, fuss, hoo-ha, uproar
commoció	commotion
llenguatge de màquina	machine language
màquina	machine
màquina	car, automobile
llenguatge	language
llenguatge	language
llenguatge	language
fer caput	to kill
infart	infarct
pastor alemany	German Shepherd
gos policia	police dog
celler	cellar
celler	wine cellar
celler	wineshop
udolar	to howl
centau	centavo
marieta	ladybug
marieta	queer
maricó	faggot, queer
espasa llarga	longsword
titubar	to titubate
titubejar	to titubate
arrogància	arrogance
supèrbia	pride
supèrbia	haughtiness, pomposity
pompós	pompous
zoantropia	zoanthropy
zoeci	zooecium
zoocor	zoochore
zwitterió	zwitterion
zuau	Zouave
signatura	signature
marraixa	carafe
antepenúltim	antepenultimate
antepenúltim	antepenultimate
penúltim	penultimate
disfòria	dysphoria
mansuetud	mansuetude
duelista	duelist
superàvit	surplus
flavonoide	flavonoid
conduir	to lead, guide
conduir	to drive
conduir	to conduct
industrialitzar	to industrialize
democratitzar	to democratize
quirat	carat
oralitat	orality
sèsam	sesame
càmfora	camphor
tot sol	alone
tot sol	on one's own
xaloc	southeast
xaloc	sirocco, southeast wind
congesta	an accumulation of snow at a high elevation; a snowbank or snowdrift
abric	shelter
consuet	customary, usual
tot i així	even so
tot i això	even so
derelicte	derelict, abandoned
derelicte	derelict
tabú	taboo
domador	tamer
travar	to bind together, to join
travar	to fetter, shackle, hobble
travar	to hinder, hobble
col·legiat	collegiate, collegial
col·legiat	collegiate, collegian
col·lega	colleague
col·legial	collegial
col·legial	collegian, collegial
llibertat	freedom, liberty
gel·laba	djellaba
despatx	office
despatx	dispatch
despatxar	to complete
despatxar	to send or ship
despatxar	to attend or serve
apocalipsi	Apocalypse, apocalypse
llar	housekeeping
llar	hearth
homofòbia	homophobia
antropofòbia	anthropophobia
apotegma	apophthegm
cotó	cotton
cotó	woolly fluellen ()
despectiu	derogatory, pejorative
pejoratiu	pejorative, derogatory
ingressar	to join
ingressar	to enter
ingressar	to put
antediluvià	antediluvian
mossegar	to bite
mossegar	to run down, to trash
mossegar	to gouge
forjat	forged, wrought
forjat	dressed, styled
mossega	profiteer
cacera	hunting, hunt
cacera	hunting party
terrassa	terrace
àguila	eagle
àguila	eagle (representation)
compendiar	to summarise, to abridge
abusador	abuser
abusador	sexual abuser, rapist
butlla papal	papal bull
expressió	expression, the action of expressing thoughts, feelings etc
expressió	expression, the expressed thing, the result of expressing.
expressió	expression as in linguistics, a particular way to express something in words.
camió	lorry , truck
indiferent	indifferent
garlanda	garland
garlanda	multiflora rose
conceptualitzar	to conceptualise
sagacitat	sagacity
sanefa	decorative border, frieze
produir	to produce
figatell	roast pig's liver
trastorn bipolar	bipolar disorder
fellonia	annoyance, anger
forner	baker
sandvitx	sandwich
armistici	armistice
serrat	serrated, saw-toothed
abisme	abyss
Plató	Plato
platònic	platonic
platònic	Platonic
platonisme	Platonism
amor platònic	platonic love
remetre	to pardon, to remit
remetre	to send, to remit
remetre	to diminish, to abate
emancipat	emancipate
dragó	gecko
dragó	dragoon
colós	colossus
exotòxic	exotoxic
endotòxic	endotoxic
microorganisme	microorganism
Tità	Titan
tità	titan
entrepà	sandwich
inculte	uncultivated, fallow
inculte	uncultured
salconduit	safe-conduct
antropomorfisme	anthropomorphism
adaptador	adapter
adaptador	adapter
hipopòtam	hippopotamus
ximpanzé	chimpanzee
obeir	to obey
obeir	to comply (a with), correspond (a to), go along with
inundació	flood, inundation
esquiador	skier
foia	depression, basin
defenestració	defenestration
figurativament	figuratively
zodíac	zodiac
eclíptica	ecliptic
eclíptic	ecliptical
tendenciós	tendentious, biased
fona	sling
adhesiu	adhesive
adhesiu	sticker
adhesiu	adhesive
enganxina	sticker
esclau	slave
físicament	physically
fonendoscopi	phonendoscope
fisiològic	physiological
violentament	violently
defunció	decease, defunction
xaval	boy, young man
aràcnid	arachnid
desfavorable	unfavorable
augmentar	to increase, augment
aeroespacial	aerospatial
obelisc	obelisk
conjugació	conjugation
pròsper	prosperous
suposar	to suppose
asimètric	asymmetric, asymmetrical
immigrar	to immigrate
contínuament	continuously
enfront de	in front of
enfront de	against
únicament	uniquely
solament	alone
refinat	refined
neteja	cleaning, cleansing
autenticar	to authenticate
ofici	office
ofici	position, office
danyar	to damage
donació	donation
animació	animation
irònic	ironic
Nou Ordre Mundial	New World Order
telèfon	telephone
làser	laser
monocromàtic	monochromatic
organització	organization
extremòfil	extremophilic
extremòfil	extremophile
hipopotomonstrosesquipedaliofòbia	hippopotomonstrosesquipedaliophobia
toponímia	toponymy
toponímic	toponymic
abecedari	abecedary
grogor	yellowness
blavor	blueness
al costat de	beside, next to
pseudònim	pseudonym
pseudòpode	pseudopod
jutjar	to judge
jutjar	to try
alienació	alienation
etnocentrisme	ethnocentrism
tonyina	hit, blow, smack
aixeta	tap, faucet
jutjat	court, tribunal
sueu	Swabian
sueu	Swabian
sueu	Swabian
lloguer	rental contract
llogar	to rent, hire
incloure	to include
incloure	to incorporate
incloure	to comprise
inclòs	included
molt de gust	pleased to meet you
expressiu	expressive
depressiu	depressive
opressiu	oppressive
agressiu	aggressive
eufòria	euphoria
ansietat	anxiety
obesitat	obesity
xato	curt, short
xato	pug-nosed
xato	Affectionate way of referring to someone, kiddo, little one, youngster
nas xato	pug nose
Pirineus	Pyrenees
mitjana	mean, average
mitjana	mizzen
mitjana	traffic island, median strip , central reserve
a causa de	because of
catolicisme	Catholicism
Felip	Philip
turisme	tourism
turístic	touristic
ocupació	occupation
ocupació	squatting
pesseta	peseta
prudència	prudence
muntanyós	mountainous
alçada	height
alçada	raise, raising, lift
paisatge	landscape
paisatge	countryside
muntanyisme	mountaineering
bicicleta de muntanya	mountain bike
grandalla	poet's daffodil ()
isard	chamois
isard	wild, rough, rugged
isard	untamed, unapproachable
truita	trout
truita	omelette
truita	Spanish omelette
senglar	wild boar
porc senglar	wild boar
trencalòs	lammergeyer
biològic	biological
senyalar	to signal
xilè	Chilean
xilè	Chilean
xilè	xylene
bitllet	ticket
bitllet	lottery ticket
bitllet	note, banknote
trofeu	trophy
beneir	to bless
genealògicament	genealogically
fotre	to fuck; to have sex.
fotre	to become ruined, fucked (said of a person)
fotre	to put in a difficult situation, screw up, fuck up
guatlla	quail
sinònim	synonym
sinònim	synonymous
enllaç	link, union
enllaç	marriage
domini públic	public domain
encisador	pretty, stunning
endins	inside, inward
practicant	practising, churchgoing
practicant	practitioner
practicant	practiser, someone who practises
collidor	ready to be picked; ripe
collidor	ready to be married, of marriageable age; nubile
collidor	ready to die, ripe for the undertaker, etc.
recórrer	to turn to, to fall back on
recórrer	to appeal, to seek relief
recórrer	to tour
lliurement	freely
parròquia	parish
etnogràfic	ethnographic
mamografia	mammography
gal·loromà	Gallo-Roman
gal·loromà	Gallo-Roman
faig	beech
vivaç	vivacious, lively, energetic
vivaç	perennial
vitalitat	vitality
escornar	to dehorn
fotut	that someone or something is difficult, complicated, damaged or messed up, it's screwed up, it's fucked.
fotut	used as an intensifier: fucking, goddamn.
recorregut	route, course
recorregut	tour, trip
decorat	scenery, set
amargament	bitterly
síntesi	synthesis
bagatel·la	bagatelle
allargar	to lengthen, to extend
allargar	to lengthen ; to go on
allargar	to stretch (out)
d'aquí poc	shortly, soon
expiar	to expiate, to atone for
aurícula	pinna, auricle
aurícula	atrium
aurícula	auricle
rematador	hitter; smasher
filat	spinning
filat	thread, yarn
filat	mesh, netting
etern	eternal
cantonès	Cantonese
cantonès	Cantonese person
cantonès	Cantonese language
dutxa	shower
dutxar	to shower, to give a shower to
dutxar	to shower, to have a shower
intersexualitat	intersexuality
hermafroditisme	hermaphroditism
pseudohermafroditisme	pseudohermaphroditism
pseudohermafrodita	pseudohermaphrodite
maror	slight sea
maror	restlessness
diàriament	daily, every day
cap de setmana	weekend
o bé	or else
assaborir	to taste
assaborir	to savor
inoblidable	unforgettable
oblidable	forgettable
ubicació	location (place)
ubicació	location (act of locating)
desvetllar	to wake up, wake
desvetllar	to wake up, awaken
trinxat	sliced, diced, minced
trinxat	per bend
trinxat	a Catalan dish of cabbage, potato and pork, resembling bubble and squeak
trinxar	to slice, slice up
Oceà	Oceanus
miolar	to meow
alternador	alternator
judes	Judas
empapussar	to feed a bird or a baby
empapussar	to devour, to pig out, to gorge oneself
allargat	enlarged
polzada	pulgada, Spanish inch,
aracnofòbia	arachnophobia
rereguarda	rearguard
rereguarda	home front
estúpid	stupid
estúpid	dolt, idiot, simpleton
imbècil	imbecile
imbècil	imbecile
Serrallonga	town of the Vallespir district, in the Northern Catalonia, now part of the Pyrénées-Orientales department in France
Tec	town of the Vallespir district, in the Northern Catalonia, now part of the Pyrénées-Orientales department in France
Menera	town of the Vallespir district, in the Northern Catalonia, now part of the Pyrénées-Orientales department in France
Montboló	town of the Vallespir district, in the Northern Catalonia, now part of the Pyrénées-Orientales department in France
Pertús	town of the Vallespir district, in the Northern Catalonia, now part of the Pyrénées-Orientales department in France
